Quality,Difficulty,Grade,Comment
4.0,3.0,A+,"Great dad joke style lecture! He cares about his students' understanding and wants his class to do well. The course has a very clear grading scheme -- webwork, 1 midterm and then the final. Half of the course is all highschool calc stuff (up until the MT) and then the rest is mostly new university calc topics which makes the final a bit harder."
5.0,4.0,A-,"One of the most charismatic professors I had first year. He speaks with a New York accent and will rarely go longer than five minutes without some sort of joke or witty comment. He also does a good job of structuring his lessons, complete with titles, references to an online textbook, and rating the difficulty of example questions. Phenomenal prof!"
5.0,3.0,A+,"Fantastic professor. He explains everything clearly, his notes are great and the pace of the class is perfect. Mind you math 101 is not an easy course but Professor Ward really explains what you need to know as well as techniques to get a good understanding of the material so you can get a high grade."
5.0,2.0,N/A,"I really cannot understand the people here complaining about his notes! The most organized and complete course notes I have ever seen, covering everything you will need to know. He cares a lot about teaching and the ""hard testing"" is completely fair game since the material is covered in class. Inspirational and brilliant. He makes you love Math!"
5.0,3.0,N/A,"This prof is the best prof Ive ever met! So good at teaching, able to answer all questions thrown at him. He makes sure that people understand the material. He also makes dad jokes in most of his classes. I would consider him a fatherly figure. I look up to him very very much."
5.0,3.0,N/A,"He is a gem. He is charismatic and does a very good job into making what is supposed to be the hardest Calculus course (out of Calc 1-2-3-4 series) entertaining and easy to follow. I have enjoyed his lectures so much until now, that I'm looking into taking another MATH course of him just for fun, or add an Honors Math minor to my degree. AMAZING!"
5.0,4.0,N/A,"I want to give a big shoutout to this professor. His course material is difficult, but I can see that he invested and continues to invest hours of his own time to help students who are struggling. The notes he posts on the webpage are handwritten, but are meticulously detailed. If I ever become a teacher this is the kind of guy I'd like to be"
5.0,4.0,N/A,Math 101 is by far the heaviest of all First and second year math courses of ubc. So much new stuff in one course. Micheal had great lectures and notes that helped a lot. You have to work yourself too because of the material. Brilliant man and very helpful to students.
5.0,4.0,A-,"Simply one of the greatest professors you will ever have. If you have the opportunity to take his class, DO IT. He is hilarious in this dadjoke kind of way and because of his experience, he knows the best ways to simplify the content so that we understand it. This course is hard, maybe brutally so, but I wouldn't take it with anyone other than Ward"
5.0,4.0,B,"The course is hard, but he teaches it as well as anyone could. His lectures have good structure to help you learn the basics of a concept before learning harder applications. He is enthusiastic and cares about how the class is doing."
5.0,3.0,B,"He is very caring about his students and really wants to see them succeed, but that doesn't mean tests will be easy. Very helpful in office hours and willimg to take time to make sure you understand."
4.0,3.0,A+,"You really learn something out of this course. Homework might be a little too much, yet is worth it."
5.0,4.0,A+,"Great lecture notes. Very invested in his student's success. Fair grader, great teacher."
2.5,5.0,A+,"Skips key steps in homework solutions, which gets rid of clarity you would hope the solutions would provide. Hard homework problems that class won't prepare you for. Be ready to be tested on all the math you've ever learned, not just what he teaches you in the course. Don't skip class, don't be late (or you'll be too busy writing to listen). "
5.0,1.0,A+,Perfect
3.0,4.0,A+,"Super clear in teaching, posts ambiguous and long homeworks, midterm was too long for the designated time, and I don't recommend taking courses with him unless you don't care about your grade."
5.0,1.0,A+,"He is just amazing. If you like math, you would love it after taking any course with him. You'll see someone on the peak who can explain easy and hard materials for you. HWs are time consuming, exams are really hard. but you will take something home from every single one of his classes."
5.0,3.0,A+,"For people who complain about him, idk what more they ask from a math prof. Ward is one of the best math profs I ever had (Anthony peirce too). His exams are way harder than hw, he posts all his notes online and the notes are very neat, but obv going to class helps understand the notes. Classes were a bit slow, but full of lots of examples."
5.0,4.0,A+,"Great professor!  He will challenge you.  He presents difficult ideas clear and effectively.  Be prepared to put a lot of time into this course if you want to do well.  There is no time to think on exams, so be a machine by at solving the problems.  The homework is time consuming, and the exams are a level above the homework."
5.0,3.0,A+,"He is a great prof, as long as you have a good math foundation, he will be able to teach you a lot! On the other hand, if you suck at math, don't blame him, he isn't there to teach the easy stuff.  His goal is to challenge the students, and give meaning to an A or A+."
5.0,4.0,0,"Man I absolutely love George, one of my fav profs at ubc, even though i'm now in my fourth year. The guy is a fantastic teacher and genuinely cares if the students are with him, he uses clickers very effectively, going over topics until people understand them. An absolute gem, in the CPSC department, a god among men."
4.0,3.0,A,good guy george
5.0,1.0,A+,Great professor who cares about his students. He is also very friendly and extremely hilarious. Assignments and exams are fair if you put the effort in.
3.0,2.0,A+,"Seems like an incredibly great guy and delivers a lot of passion to the lecture hall. That said, he does not prepare well for class, is often late and stumbles over his explanations. Could do with a lot more rehearsal."
5.0,1.0,A+,"A great professor who really cares about his students. Engaging and informative lectures, and absolutely hilarious. Also very fair exams and workload."
2.5,3.0,A-,"George is a great guy; his lectures are entertaining and he is very approachable. However, he sometimes gets confused with some of the material, which in turn confuses students. You'll have to get used to the accent, but it's nothing major. I really liked his class. His exams are fair and so is the grading. "
2.5,4.0,A-,"Hard to understand. Says stuff like, ""how the step is gonna look like?"" I think he means, ""what is the next step?"" but it's hard to tell. Lecture slides are half written and inherited from another prof. Nice guy, pretty funny and also helpful if you talk to him. The lectures would be better if he wrote his own notes, or just wrote on the board."
